标题,关键字
基于SSH架构的银行支付系统的设计与实现,"['J2EE', 'SSH', '银行信息系统', '银行支付系统']"
基于SSH框架的网络购物电子商务平台的设计与实现,"['电子商务', 'Struts', 'Hibernate', 'Spring', 'Java EE', '框架']"
基于J2EE架构的馆藏藏文文献信息编目系统的设计,"['藏文文献信息编目系统', 'J2EE架构', 'Struts框架', 'Spring框架', 'Hibernate框架', 'MVC模式', 'ORM技术']"
黑龙江中医药大学远程教育管理系统的设计和实现,"['教务管理', '设计模式', '面向对象分析与设计', 'SSH', 'Java EE']"
基于WEB的社区医疗机构收费管理系统,"['WEB', '医疗', 'MVC', 'SSH']"
绩效考核系统的设计与实现,"['绩效考核', 'B/S', 'AJAX', 'EXT', 'Spring']"
基于Flex的家校通系统,"['FLEX', 'J2EE', 'IBATIS']"
基于SSH软件构架的地井信息处理平台设计,"['Struts', 'Spring', 'Hibernate', 'MVC']"
基于StrutsHibernateSpring框架的信息管理系统的研究和实现,"['信息管理系统', 'Struts', 'Hibernate', 'Spring', '框架整合']"
基于J2EE的保险呼叫中心系统设计与实现,"['呼叫中心', 'J2EE', 'Webwork', 'Spring', 'Hibernate']"
StrutsSpringHibernate框架的开发,"['框架', 'Java', 'Struts', 'Spring', 'Hibernate']"
基于SSH2框架的校园网招聘信息发布系统的构建,"['校园网招聘信息发布系统', 'SSH2', '招聘信息管理', '招聘短信管理', '邮件管理']"
基于SSH开源架构的高校帮困助贷系统的研究与实现,"['贫困生帮困助贷', 'Struts Hibernate Spring', 'SSH框架整合', 'RBAC', '访问控制']"
基于BS结构的校园管理系统的设计与实现,"['校园管理系统', 'J2EE', 'MVC', 'SSH', '模拟退火算法']"
基于SSH框架的实验教学平台的研究,"['Web应用', 'Struts框架', 'Spring框架', 'Hibernate框架', '实验教学']"
基于J2EE平台的企业财务软件的研究与开发,"['企业资源计划', '财务管理', '数据库', '软件开发']"
基于SpringHibernate框架的进销存管理软件的开发与设计,"['进销存系统', 'Spring-Hibernate', '进货管理', '库存管理', '销货管理']"
基于预定格式的XML文档编辑器的设计与实现,"['XML', 'XML文档', '编辑器', 'XML编辑器']"
J2EE轻量级架构的研究与应用,"['Struts2', 'Spring', 'Hibernate', 'J2EE', '设计模式']"
神州数码人力资源管理系统的设计与实现,"['人力资源管理', 'MVC设计模型', 'SSH结构']"
基于J2EE技术的交友网站的设计与实现,"['J2EE', 'MVC', 'ORM', '数据挖掘', '交友网站']"
基于J2EE的实训中心信息管理系统的研究与实现,"['J2EE', 'MVC', 'Struts', 'Spring', '实训中心信息管理']"
基于J2EE轻量级框架的安全管理平台的设计与实现,"['轻量级框架', '安全性', '认证', '授权', 'Spring', 'Acegi']"
企业门户网站内容管理系统的设计与实现,"['内容管理系统', '企业门户网站', 'J2EE', '模板']"
基于StrutsSpringHibernate框架构建WEB应用的设计与实现,"['框架', 'Struts', 'Spring', 'Hibernate', 'BOSS']"
基于轻量级J2EE框架的进销存系统设计与实现,"['进销存', 'J2EE', 'MVC']"
面向方面的编程方法在iLeave项目中的应用,"['面向方面编程', '控制反转', 'Spring', 'Web工程']"
一种基于代码下移的软件框架,"['代码下移', '公共语言运行时', '软件框架', '三层结构']"
基于Spring的MVC框架设计与实现,"['模型-视图-控制器模式', 'Spring框架', '控制反转', '面向方面编程']"
基于RIA技术的证券行业企业展示系统的设计与实现,"['富网络应用系统', 'Flex', 'Cairngorm', 'Spring', 'Hibernate']"
基于J2EE的贸易公司ERP系统的设计与实现,"['贸易公司', 'ERP', 'J2EE', 'Spring', 'UML', 'AJAX', '数据库连接池']"
一种新型轻量级Web应用框架研究,"['轻量级Web应用框架', 'Spring', '控制反转模式']"
高校教学资源共享平台的设计与实现,"['资源共享', 'JSF', 'Spring', 'Hibernate']"
基于J2EE的银行资产托管系统的构建,"['J2EE', '银行资产托管系统', 'SSH']"
日桥公司知识管理系统的设计与实现,"['知识管理', 'J2EE', 'Struts框架', 'Spring框架']"
StrutsSpringHibernate框架在OA开发中的应用,"['办公自动化', 'J2EE', '模型-视图-控制器', 'Struts', 'Hibernate', 'Spring']"
基于BS结构的远程监控平台的设计与实现,"['B/S结构', '远程监控', '监控代理', '监控中心', 'Socket']"
基于J2EE轻量级框架的应用研究,"['J2EE', 'Struts2', 'Spring', 'Hibernate', '轻量级容器']"
基于SpringHibernate的医院药品管理系统的构建,"['药品管理系统', 'Spring', 'Hibernate', '控制反转']"
基于JSFSpringHibernate框架的Web在线购书系统的设计与实现,"['Java Server Faces框架', 'Spring框架', 'Hibernate框架', 'Web在线购书系统']"
基于J2EE框架的会计信息系统的设计与实现,"['J2EE架构', '会计信息系统', 'SSH组合框架', '多层Web体系结构']"
基于SSH的小型办公系统的设计与实现,"['办公自动化系统', 'Structs框架', 'Spring框架', 'Hibernate框架']"
基于图片的建筑管理系统关键技术研究与实现,"['建筑工程精细管理', '可视化', 'RIA', 'Flex', 'BlazeDs']"
利用泛型DAO模式改进轻量级J2EE架构,"['Spring框架', 'Hibernate框架', 'Struts框架', '泛型DAO模式', '网络教学']"
基于Ajax的Web框架设计与实现,"['Ajax', 'MVC', 'Spring', 'Hibernate', '整合']"
基于Acegi安全框架实现Web系统的安全控制,"['授权', '认证', '安全框架']"
河南移动手机办公系统设计,"['手机办公', 'WAP', '设计']"
基于SSH整合技术的企业能源管理系统的研究与实现,"['能源管理', 'SSH', '决策分析', '数据包络分析法']"
基于JAVAEE的生产管理系统的设计与实现,"['车间管理系统', 'JavaEE', 'Struts', 'Spring', 'Hibernate']"
基于SOA技术框架数据分析系统的研究与实践,"['面向服务构架', '分层构架模式', '数据分析', '局部离群点挖掘', '算法']"
基于轻量级J2EE的加油站卡系统的设计与实现,"['加油站卡系统', '轻量级J2EE体系结构', 'Spring框架', 'Hibernate框架', 'Acegi框架']"
SSH框架在软件工程J2EE三层架构体系中的应用,"['SSH框架', '三层架构', 'Struts', 'Spring', 'Hibernate', 'J2EE']"
电信CRM的应用分析与若干关键技术研究,"['客户关系管理', '客户流失预警', '决策树算法', 'Spring框架', '数据持久化']"
基于SSH的家电商场进销存系统研究与实现,"['进销存', 'SSH', 'J2EE', '框架']"
基于Web的银行网点电子地图的设计与实现,"['SSH', 'Lucene', 'Ajax', '电子地图', '银行网点']"
基于J2EE的银行客户关系管理系统的构建,"['J2EE', 'SSH', '银行客户关系管理系统']"
自助银行监控系统的设计与实现,"['自助银行', '监控系统', 'j2ee平台', '组件']"
基于BS架构的冷藏运输监管系统的设计和实现,"['冷藏运输', 'LBS', 'Grizzly', 'Spring', 'Hibernate', 'Google Maps API']"
基于J2EE架构的信息资源网的设计与实现,"['软件架构', 'J2EE', 'Struts', 'Spring', 'Hibernate', 'SSH', 'EXT']"
基于SSH框架的电力公司在线客服系统的构建,"['在线客服系统', 'Struts2', 'Spring', 'Hibernat']"
基于JavaEE和XML的分布式信息检索系统设计与实现,"['分布式信息检索', 'XML', 'XQuery', 'JavaEE', 'Hessian']"
潍坊市城市管理行政执法权限设置与执法统计系统的设计与实现,"['行政执法系统', '分布式应用', '可扩展性设计', 'Spring框架', 'J2EE开发平台']"
基于Granite Data Services的Web监控系统,"['Web监控系统', 'GDS', 'Flex', 'Hibernate', 'Spring']"
Spring框架技术的应用,"['Spring框架', 'Oracle9i数据库', 'JSP', 'WebLogic']"
J2EE框架及全文检索技术在信息管理系统中的应用,"['信息管理系统', 'J2EE', 'Struts', 'Spring', 'Hibernate', 'Lucene', 'MVC']"
基于Spring框架和ExtJS的药品库房管理系统实现,"['药品库房', 'AJAX技术', '异步通信', 'Spring框架', 'ExtJS', '模式-视图-控制器']"
基于Spring框架的WebGIS应用研究,"['网络地理信息系统', 'Spring', '控制反转', '面向方面编程']"
基于J2EE轻量级框架的移动卡类渠道销售管理系统,"['轻量级框架', '模型-视图-控制器', '对象关系映射', '依赖注入', '设计模式']"
浅析Struts与Spring的整合,"['Struts', 'Spring', '整合']"
AOP在Spring框架中的应用,"['Spring', 'Web', 'AOP', 'IoC']"
基于Spring框架的职业院校管理系统构建,"['职业院校管理系统', 'Spring', 'Hibernate']"
基于Spring AOP的权限控制应用研究,"['OOP', '面向切面编程', 'Spring AOP', '权限控制']"
基于FlexSpringHibernate框架技术的RIA教学测评系统的设计与实现,"['富英特网', 'Flex', '教学测评', 'Spring框架', 'Hibernate框架']"
基于JavaEE的固定资产管理系统的设计与实现,"['固定资产管理', 'Spring框架', 'Struts框架', 'Java数据库连接', 'faade模式']"
基于RRD的数据中心监控报表系统,"['数据监控', 'RRD', '报表系统', 'SNMP']"
基于WEB20的虚拟班级管理系统的设计与实现,"['班级管理', 'J2EE', 'Struts', 'Spring', 'Hibernate', 'Web 2.0']"
基于Struts2框架的企业人力资源管理系统的构建,"['人力资源管理系统', 'Struts2', 'Spring', 'Hibernate']"
基于Spring MVC框架的健康险公司服务平台与实现分析,"['健康险', 'Spring框架', '系统应用']"
J2EE轻量级框架在高校课程管理系统中的应用,"['Struts框架', 'Spring框架', 'Hibernate框架', '轻量级框架', '课程管理系统']"
S2SH一种Web应用框架及其实现,"['S2SH', 'Struts2框架', 'Spring框架', 'Hibernate框架']"
基于轻量级框架的企业信息管理系统的设计与实现,"['轻量级框架', '控制反转', 'O/R映射', 'Site Mesh', '企业信息管理系统']"
广播电视发射中心综合监控与管理系统的设计与实现,"['广播电视', '监控系统', 'J2EE架构']"
基于Spring框架的通信企业进销存系统的构建,"['进销存系统', 'Spring', 'Hibernate', '依赖注入', '面向切面编程']"
基于Spring和Memcached的iBATIS二级缓存的研究与应用,"['Spring', 'Memcached', 'iBATIS', '二级缓存']"
基于StrutsHibernateSpring框架的劳资管理系统研究,"['持久化', '对象/关系映射', 'J2EE']"
VelocitySpring 20Hibernate的Web应用开发框架,"['Velocity', 'Spring2.0', 'Hibernate', '框架']"
基于Spring的轻量级Web框架的应用研究,"['Spring框架', 'J2EE', '控制反转', '面向方面编程']"
基于IEC61970的WebSCADA系统服务器后台的设计与实现,"['CIM', 'SCADA实时数据库', 'CIS', 'PostgreSQL', 'Hibernate', 'Spring']"
基于JSH架构的Web应用研究,"['模型-视图-控制器', 'JSF框架', 'Spring框架', 'Hibernate框架', '对象关系映射']"
基于Spring框架的SOA系统架构的实现,"['Spring', 'SOA', '系统架构']"
基于轻量级WEB框架的工作流引擎的研究与应用,"['工作流', '工作流引擎', 'LDAP', 'JSF', 'Spring', 'Hibernate', 'OpenLdap']"
基于SPRING的选煤厂质量控制系统的研究与实现,"['Spring', '选煤厂', '质量控制', 'Hibernate', '面向对象']"
基于企业级开发模式的邢钢客商系统的设计与实现,"['企业级开发', '客商系统', '面向切面编程', '数据同步']"
基于轻量级J2EE架构的工商局信息服务平台,"['轻量级构架', '政府信息化建设', 'Struts Spring', 'Hibernate', 'Web服务']"
保险公司反洗钱信息系统的设计与实施,"['保险业', '洗钱', '反洗钱', '大额和可疑交易', 'Ajax', 'Dorado']"
基于Spring的出版社信息管理系统的设计与实现,"['Spring轻量级框架', '出版社', '信息管理系统', '需求分析']"
基于J2EE架构的销售管理系统的设计与实现,"['销售管理系统', 'Struts', 'Hibernate', 'Spring']"
基于Spring的水电站基建质量管理系统的研究与实现,"['质量管理系统', 'Spring框架', 'AOP', 'IoC']"
科技厅中小企业创新服务平台的研究与实现,"['J2EE', '创新服务', 'Struts', 'Hibernate', 'Spring']"
基于SSH的农产品数字认证申报系统设计与实现,"['农产品数字认证', 'SSH', 'B/S', 'Orcale 10g']"
基于MVC设计模式的系统框架研究与设计,"['J2EE体系结构', '设计模式', 'Struts', 'Spring', 'Hibernate', '整合框架']"
JavaEE多层架构Struts2Spring3Hibernate3Ajax的整合,"['Struts2', 'Spring', 'Hibernate', 'Ajax', 'Annotation', 'IoC', 'AOP']"
基于数据库复制技术的公安机关固定资产汇总系统,"['数据库复制技术', '资产汇总系统', 'oracle 9i', '异地容灾备份', '决策支持']"
基于Spring的J2EE安全框架的研究与应用,"['J2EE安全机制', '角色访问控制', '认证与授权', 'Spring', 'Acegi']"
基于JSFSpringHibernate架构的研究与应用,"['JSF', 'Spring', 'Hibernate', '轻量级', '框架整合']"
基于SSH的现代农业产业技术体系管理平台研究与设计,"['信息平台', 'B/S', 'SSH构架', '现代农业产业技术体系']"
一种基于S2SH的Web应用框架及实现方法,"['Web应用', 'Struts2框架', 'Spring框架', 'Hibernate框架', '整合']"
Spring框架下Web应用系统设计与实现,"['配置文件', '松耦合', 'Spring Web', '应用系统']"
基于StrutsSpringHibernate框架的LIMS的设计和实现,"['实验室信息管理系统', 'MVC模式', 'Struts框架', 'Spring框架', 'O/R映射']"
基于Spring框架的IoC微内核的实现机制与应用,"['控制反转(IoC)', '依赖注入(DI)', '解耦', '高内聚低耦合', 'Spring容器']"
基于Web容器统一架构的综合传媒支撑平台的研究与实现,"['软件架构', '设计模式', '层次模型', '复合应用', '事务管理', '消息模型']"
基于J2EE的学生辅修录取系统设计与实现,"['Struts', 'Spring', 'Hibernate', 'DAO']"
基于JSFSpringHibernate集成框架的实现与应用,"['JSF框架', 'Spring框架', 'Hibernate框架', 'MVC']"
JavaEE轻量级框架在Web系统中的应用与实现,"['JSF框架', 'Spring框架', 'Hibernate框架', 'RMI技术', '分布式系统']"
企业知识管理系统的设计和实现以浙江省电力试验研究院为例,"['电力研究', '协同', '知识管理', '企业信息化', '知识价值']"
基于J2EE框架的造纸生产管理信息系统的设计与实现,"['造纸生产管理信息系统', 'Hibernate框架', 'Spring框架', 'JSF框架']"
基于J2EE架构的工程分析管理系统的设计与实现,"['工程分析管理系统', 'J2EE平台', 'MVC模式']"
基于造纸厂生产管理系统的设计与实现,"['制纸', 'JSF框架', 'Spring框架', 'Hibernate框架']"
基于多层开发架构下的工作流引擎在协同软件中的设计与实现,"['工作流', '工作流引擎', '协同软件', '协同企业']"
DSCJ轻量级框架集成的技术研究与实现,"['DWR', 'Spring Web Flow', 'Spring MWC', 'Compass', 'JPA', 'DSCJ', '框架集成']"
集成Flex与J2EE的面向RIA Web应用的研究与实现,"['RIA', 'Flex', 'J2EE', 'Spring', 'Hibernate', 'Cairngorm']"
基于TSH的轻量级J2EE架构研究与应用,"['J2EE', 'Tapestry', 'Spring', 'Hibemate', '框架']"
论文复制检测管理系统的设计与实现,"['Spring框架', 'MVC设计模式', 'Hibernate框架', '复制检测', '数字指纹']"
基于SSI框架JavaEE技术研究,"['Spring', 'Struts', 'iBatis', 'WebService', 'Json', '开源框架']"
基于Java的IoC容器的设计与实现,"['轻量级', '容器', '控制反转']"
基于TDFramework20的传媒业务支撑系统开发,"['TD-Framework2.0', 'MVC', 'Struts', 'Spring', 'UniEAP']"
基于中间件的气象信息服务系统的研究,"['中间件', 'MVC', '专家系统', '构件', '数值天气预报系统']"
面向Spring框架的MDA模型转换方法研究,"['模型驱动体系结构(MDA)', '模型转换', 'Spring框架', 'UML Profile']"
基于JBPM和轻量级J2EE的办公自动化系统的研究与实现,"['工作流', 'JBPM', 'J2EE', '办公自动化']"
基于SSH框架的无线网络优化辅助分析系统的设计与实现,"['J2EE', 'SSH', 'XML', '异构数据集成']"
英语在线考试及批阅系统的设计与实现,"['在线考试', 'J2EE', '轻量级框架', '自动批阅', '语句相似度']"
基于J2EE架构的铁矿化验管理系统的开发与实现,"['J2EE', 'Struts', 'Hibernate', 'Spring', '框架整合']"
基于GrailsHibernateSpring框架的水体溶解氧检测数据呈现,"['J2EE框架', '敏捷开发', 'Grails+Hibernate+Spring', 'C8051F040', '溶解氧检测', 'AJAX']"
基于spring框架技术剖析,"['spring', '模块化', 'AOP', 'POJO', 'IoC']"
基于轻量级J2EE的干部信息管理平台的设计及实现,"['J2EE', '轻量级', 'Struts', 'Spring', 'Hibernate', '分布式']"
基于J2EE的RFID中间件的研究与实现,"['无线射频识别', 'RFID中间件', '消息服务总线', 'ServiceMix', '规格化消息路由']"
Struts2框架整合Spring框架在文件上传下载中的应用,"['Struts2', 'Spring', '文件上传下载']"
基于J2EE的网络辅助教学平台的设计与实现,"['网络辅助教学', 'J2EE', '轻量级框架', '自主学习']"
新疆高校教学资源库管理系统的设计与实现,"['新疆高校教学资源库设计', '资源整合', '分布式面向服务', '模型-视图-控制器']"
蛋白质组数据库平台开发研究及其相互作用数据的功能分析,"['蛋白质组学', '数据库平台', 'J2EE', 'SSH框架', '蛋白质相互作用', '功能聚类']"
Spring框架下Web查询性能优化研究,"['Spring框架', 'Compass技术', '缓存技术', 'Web查询效率']"
基于J2EE的CDN客户服务系统的设计与实现,"['CON', '客户服务系统', '轻量级框架', '组件', '设计模式', '性能测试']"
基于MVC模式的二手机动车治安管理系统的研究与开发,"['二手机动车', '治安管理', 'MVC模式', '框架技术']"
基于J2EE规范的通用型整合框架的研究与应用以亚信科技中国大型商业项目中国移动BOSS系统开发为例,"['J2EE', '框架', 'Spring', '整合', 'Struts']"
网络化计税系统及其安全机制研究,"['网络化', '计税', '框架', '安全机制']"
基于SSH的缺陷跟踪系统的设计与实现,"['软件缺陷', '缺陷跟踪', 'SSH']"
基于Spring的轻量级Web框架研究与实现,"['轻量级Web应用框架', 'Spring', '控制反转模式', '面向方面编程', '可重用动态数据管理构件']"
轻量级J2EE物流信息服务平台设计与实现,"['轻量级框架', '依赖注入', '面向切面编程', '数据持久', '物流信息化']"
基于高级Petri网的工作流系统模型的研究,"['Petri网', '工作流', '建模', '工作流管理系统', 'Web技术']"
基于J2EE和Flex构建营销一体化平台的设计与实现,"['富互联网应用(RIA)', 'Flex', 'J2EE', 'Spring', 'Hibernate']"
基于WEB的人造板热压机液压故障诊断系统的研究,"['热压机', '液压系统', '故障诊断', 'JESS', 'SSH']"
一种基于J2EE轻量级框架的异步Web架构的研究和应用,"['DSSH开发架构', 'Ajax', 'Web应用程序', 'J2EE平台']"
基于SSH框架的人事劳资管理系统的研究与实现,"['人事劳资管理', 'J2EE', 'Struts', 'Spring', 'Hibernate']"
STRUTSHIBERNATESPRING整合技术的研究,"['框架', '依赖注入', '持久化', '对象/关系映射']"
基于Web应用的高职院校教学管理系统,"['教学', '管理系统', 'Web']"
基于JavaEE的电信CRM数据持久层的实现,"['电信客户关系管理系统', 'Spring框架', '设计模式']"
基于SSH框架的教学测评系统设计与实现,"['教学测评', 'Struts', 'Spring', 'Hibernate']"
J2EE架构下高校就业系统的设计与实现,"['Struts', 'Spring', 'Hibernate', '就业系统']"
Spring的软件测试方法在超市CRM中的应用,"['Spring', '软件测试', '客户关系管理', '面向切面编程', '测试驱动开发']"
基于轻量级J2EE的工程招投标信息系统的设计与实现,"['J2EE体系结构', 'MVC模式', 'Struts', 'Spring', 'Hibernate', 'Ajax']"
基于SSH架构的多层分级党务管理信息系统的设计与实现,"['架构', '多层分级', 'Struts', 'Spring', 'Hibernate']"
基于责任模式资源平台关键技术的研究及实现,"['关键技术', '责任模式', '资源平台', '数据', '设计模式']"
基于Struts2SpringHibernate轻量级框架的应用研究,"['计算机应用', 'Struts2', '框架', '轻量级框架', 'J2EE']"
基于JSR170的内容仓库的设计与实现,"['内容管理系统', '内容仓库', '模板', '网站', '信息化']"
基于Spring MVC的旅游电子商务平台构建,"['Spring', '控制反转', '依赖注入', '面向切面编程', '旅游电子商务']"
NGN网络业务管理系统的架构及通信接口的研究与实现,"['NGN网络业务管理', 'Spring Web MVC', 'TR069', 'J2EE']"
OTA系统的Java EE实现研究,"['OTA', 'Java EE', '框架', 'Spring', 'Struts', 'Hibernate']"
多媒体会议系统的研究与开发,"['多媒体会议系统', 'Socket', 'J2EE', 'UML', 'RTP/RTCP']"
远程教学与教务管理平台中关键技术的研究与应用,"['远程教学与教务管理系统平台', '面向方面的编程方法', 'jbpm工作流', 'J2EE']"
面向网上支付的统一银行网关的设计与实现,"['电子商务', '支付网关', '网上支付', '网关接口', '支付安全']"
基于Struts的CheckList自动生成系统的设计与优化,"['测试用表', 'Struts', 'iBATIS', 'Hibernate', 'Spring框架']"
基于web的人脸检测与人脸识别,"['人脸检测', '人脸识别', 'web系统']"
基于MVC的J2EE应用开发分析与比较,"['设计模式', 'MVC模式', 'J2EE平台', 'struts框架', 'hibernate框架', 'spring框架']"
基于开源框架的多层架构研究与应用,"['开源框架', '软件架构', 'Struts', 'Spring', 'Hibernate']"
Spring Web Flow在自适应在线考试引擎中的应用,"['Spring Web Flow', '自适应考试引擎', 'Spring框架', 'Spring MVC', '流程定义']"
基于轻量级J2EE架构的水电工程项目安全管理系统的研究,"['水电工程项目安全管理', '轻量级J2EE架构', 'Struts', 'Spring', 'Hibernate']"
基于Spring的电子政务设计与实现,"['J2EE', '电子政务', 'Spring', 'iBatis', '反转控制']"
基于SSH架构的Web框架在电子政务上的应用与研究,"['Struts', 'Struts2', 'MVC', 'spring', 'IOC', 'Hibernate', 'ORM']"
Java Web应用安全框架ACEGI浅释,"['ACEGI', '安全', 'Web应用']"
基于J2EE的通用开发框架的研究,"['MVC', '框架', '持久化', '模式', 'O/R映射']"
基于轻量级J2EE架构的研究生教育管理系统,"['Struts', 'Hibernate', 'Spring', 'J2EE', '研究生教育管理系统']"
DWR在基于Spring框架的Web应用中的研究,"['DWR', 'Spring', 'Ajax']"
基于Struts 2SpringHibernate三种框架的通用Web框架的研究及应用,"['Struts 2', 'Spring', 'Hibernate', '软件重用']"
运用J2EE框架技术构建公共卫生信息平台,"['J2EE', '框架技术', 'Struts', 'Spring', 'Hibernate']"
基于Spring的业务规则引擎,"['规则引擎', 'Spring框架', '职责链']"
基于StrutsSpring和Hibernate的帐票系统的设计与实现,"['Struts', 'Spring', 'Hibernate', 'MVC', '帐票']"
SPRINGMaven框架下基于RMI的分布式应用,"['RMI', 'SPRING', 'MAVEN', 'RmiServiceExporter']"
天宇贸易公司会议管理系统的设计与实现,"['J2EE', 'Struts', 'Spring', 'Hibernate', '会议管理']"
基于JSFHibernate和Spring框架的网上商店系统的设计和实现,"['网上商店', 'JSF', 'Hibernate', 'Spring', 'MVC模式']"
基于SOA的公安信息比对系统设计与实现,"['信息比对', '基于ESB的SOA架构', '表达式解析引擎', '公安']"
轻量级架构及其安全控制的研究及其应用,"['认证', '授权', 'Acegi']"
基于SCA服务构件技术的研究与应用,"['SCA', '服务构件', '企业应用集成', '装配模型', '解决方案']"
基于J2EE的禁毒信息系统的设计与实现,"['禁毒信息系统', 'J2EE', 'SSH', '工作流', '网络信息安全']"
基于JSF Spring和Hibernate的Web应用架构的设计和实现,"['JSF', 'Spring', 'Hibernate', 'Web系统', '框架']"
基于Java EE的轻量级Web应用框架研究与实现,"['Java EE', 'WebWork', 'Spring', 'Hibernate']"
基于J2EE多层框架的在线考试系统研究,"['J2EE', '多层框架', '考试系统', 'Spring Hibernate']"
基于轻量级J2EE的互联网订票系统的研究与应用,"['互联网订票', '轻量级', 'J2EE', '框架', 'Spring', 'JSTL', 'Ibatis', 'JSP']"
基于MVC模式的Struts和Spring框架的分析及整合,"['J2EE', 'MVC模式', 'Struts框架', 'Spring框架', '整合']"
SpringSource更改维护策略造成的Spring社区大地震,['nan']
基于Spring框架的在线拍卖系统的设计和实现,"['JavaEE', 'Spring框架', '整合', '在线拍卖']"
基于SSH框架的中国地质大学北京视频在线系统设计与实现,"['视频在线', 'J2EE', '框架']"
基于StrutsHibernateSpring框架的Web应用与实现,"['设计模式', '耦合', 'Struts', 'Hibernate', 'Spring', '框架整合']"
一种金融系统专用ETL工具的研究与实现,"['ETL工具', 'Spring框架', '数据转换', '任务调度']"
基于Spring的下一代FTP服务器模型及其实现,"['端口', '协议', '容器', '依赖注入', '模式']"
基于SSH的本科教学评估辅助系统的设计与实现,"['MVC', 'Struts框架', 'Spring框架', 'Hibernate框架', '本科教学评估']"
基于StrutsSpringiBATIS的轻量级Web应用框架研究,"['Struts', 'Spring', 'iBATIS', 'SSi轻量级']"
基于J2EE的轻量级框架的研究与应用,"['J2EE', '轻量级', 'Struts', 'Spring', 'Hibernate', '分布式Web系统']"
基于MVC模式的模具网络化制造平台的研究,"['J2EE', 'MVC模式', 'Struts', 'Spring', '模具企业', '网络化制造']"
基于Spring框架的分布式工作流引擎设计与实现,"['Web Service', '工作流引擎', 'Spring', 'J2EE']"
基于J2EE轻量级框架的健康信息系统设计与实现,"['浏览器/服务器', '对象/关系映射', 'Struts框架', 'Spring框架', 'Hibernate框架']"
基于J2EE轻量级框架的敏捷型Web架构研究及应用,"['敏捷开发', 'Web架构', '轻量级', '测试驱动开发']"
基于虚拟表的动态表单设计与实现,"['电子政务', '数据上报', '动态表单', '方差']"
基于开源框架的J2EE应用开发及研究,"['J2EE', '域对象', '开源框架']"
基于Flex和J2EE多层架构的RIA教学质量评价系统的研究与实现,"['教学质量评价系统', '富英特网', '多层架构', 'J2EE']"
基于Spring框架的协同办公系统的开发,"['协同办公系统', 'Spring', 'IoC', 'AOP']"
基于Web Services的软件配置管理系统构建,"['配置管理', 'CXF框架', 'Spring框架', 'AJAX', 'Restful']"
基于StrutsHibernateSpring框架的电子政务系统研究,"['开源模块', '电子政务', '持久化', '对象/关系映射']"
基于StrutsHibernateSpring框架的毕业设计管理系统,"['J:2EE框架', '模型-视图-控制模式', '毕业设计管理系统', '面向方面编程']"
基于Struts和Spring框架技术的Web应用的开发过程,"['Struts', '框架', 'MyEclipse', 'Spring']"
基于MVC模式的管理信息系统的研究,"['J2EE', 'MVC模式', 'Struts框架', 'Spring框架', '管理信息系统']"
基于J2EE平台的船舶技术性能数字化系统的研究与实现,"['J2EE框架', '混合编程', '可视化', 'AutoDesk Dwf', 'Jni']"
J2EE轻量级框架的研究与应用,"['Struts框架', 'Hibernate框架', 'Spring框架', '轻量级框架', 'J2EE']"
基于MVC的食品安全监控系统的研究与设计,"['模型—视图—挖制器模式', '食品安全监控系统', 'Struts框架', 'Spring框架']"
基于StrutsSpringHibernate架构技术的B2C电子商务系统的设计,"['Struts+Spring+Hibernate', '电子商务系统', '设计']"
基于StrutsSpringHibernate架构的进销存管理系统的研究及实现,"['进销存', 'J2EE', 'MVC', '架构']"
基于J2EE框架的船舶性能预报优化集成系统的设计与实现,['nan']
基于Spring的轻量级框架的设计与实现,"['Spring', '轻量级框架', 'Struts', 'Hibernate']"
Spring在电力信息化软件中的应用研究,"['Spring', '电力信息化', 'AoP', 'IoC']"
基于Acegi安全框架的权限管理研究与实现,"['Spring', 'Acegi', '权限管理', '认证管理器']"
基于J2EE轻量级框架的应用开发,"['轻量级框架', 'Spring', 'Hibernate', 'Struts']"
Spring框架在J2EE中的应用,"['java', '框架', '事务', '类', '管理']"
基于开源组合框架构建企业级Web应用系统研究,"['企业级Web应用', '开源', '框架', 'J2EE']"
基于J2EE的HelpDesk平台的设计与实现,"['HelpDesk', 'J2EE', '框架']"
基于轻量级J2EE的电力物资管理系统的设计与实现,"['电力物资管理系统', '物资盘点管理', 'J2EE', 'MVC']"
基于Flex和J2EE技术的RIA系统的设计与实现,"['富网络应用系统', 'Spring框架', 'Hibernate', 'Cairngorm', 'Flex']"
基于WSH框架的水运处营运系统的研究,"['框架', 'WebWork', 'Spring', 'Hibernate', '整合']"
基于RBAC的测井数据权限管理模块的设计与实现,"['测井', '基于角色的访问控制', '角色继承', '责任分离', 'Spring框架']"
企业内部管理系统中财务管理子系统的设计与实现,"['J2EE', 'MVC(Model-View-Controller)', '财务管理子系统', 'Struts技术', 'Hibernate技术', 'Spring技术']"
基于StrutsSpringHibernate架构的价格鉴定系统的设计与实现,"['J2EE', 'SSH', '网络负载平衡', '异常控制', '价格鉴定']"
基于J2EE分层结构的CG动漫制作项目管理系统,"['J2EE分层结构', 'J2EE核心模式', 'Struts', 'Spring', 'Hibernate', 'CG项目管理']"
基于Web的IT应用网管系统的研究与开发,"['IT应用网管系统', '企业级应用系统', 'J2EE体系架构', '简单网络管理协议', 'Java管理扩展']"
